epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10610.9,1.73131,1.61882,1.5519,0.55636,0.59269,0.53284,0.33229,2.27871,1.96142,1.95504,0.000990365,0.000990365,0.000990365
43,10902.4,1.74698,1.5757,1.51791,0.54078,0.59004,0.53105,0.32226,2.24669,1.94855,1.90304,0.000973861,0.000973861,0.000973861
44,11176.7,1.75345,1.6124,1.53411,0.53008,0.55674,0.50407,0.32331,2.24863,1.96935,1.89673,0.000957358,0.000957358,0.000957358
45,11460.2,1.73431,1.61354,1.54635,0.53577,0.55527,0.51021,0.32671,2.24526,1.97802,1.92099,0.000940855,0.000940855,0.000940855
46,11728.1,1.75656,1.6092,1.54829,0.51584,0.59438,0.52951,0.32769,2.23486,1.93713,1.89978,0.000924352,0.000924352,0.000924352
47,12007.6,1.69551,1.5661,1.52341,0.54217,0.58484,0.53248,0.32296,2.27235,1.89665,1.93878,0.000907848,0.000907848,0.000907848
48,12273.7,1.71372,1.56522,1.53309,0.53989,0.5761,0.53916,0.32758,2.26576,1.9558,1.90853,0.000891345,0.000891345,0.000891345
49,12559.1,1.68222,1.53964,1.51897,0.54418,0.57903,0.50589,0.31833,2.28434,1.91961,1.93334,0.000874842,0.000874842,0.000874842
50,12824.1,1.70781,1.56447,1.51379,0.52564,0.5856,0.52143,0.31935,2.30956,1.88873,1.95727,0.000858338,0.000858338,0.000858338
51,13107.8,1.72488,1.55588,1.5164,0.55268,0.58841,0.52327,0.33317,2.25447,1.90866,1.92334,0.000841835,0.000841835,0.000841835
52,13393.8,1.66893,1.53577,1.5057,0.54108,0.59305,0.52865,0.33999,2.27486,1.92064,1.93303,0.000825332,0.000825332,0.000825332
53,13717.4,1.67882,1.50498,1.47748,0.51053,0.59779,0.52643,0.33652,2.2509,1.89816,1.91836,0.000808828,0.000808828,0.000808828
54,14009.8,1.68323,1.51611,1.49051,0.537,0.59779,0.52305,0.33707,2.2868,1.92077,1.95192,0.000792325,0.000792325,0.000792325
55,14286.1,1.64685,1.49542,1.47686,0.54381,0.57903,0.52229,0.32514,2.26526,1.91945,1.92524,0.000775822,0.000775822,0.000775822
56,14492.9,1.6619,1.47831,1.48998,0.51758,0.59446,0.51039,0.32363,2.27756,1.93967,1.94285,0.000759318,0.000759318,0.000759318
57,14672.6,1.61147,1.49516,1.4934,0.54878,0.5895,0.52203,0.33642,2.27183,1.89353,1.94396,0.000742815,0.000742815,0.000742815
58,14854.9,1.60413,1.42085,1.43467,0.54578,0.5931,0.52949,0.33678,2.3017,1.89904,1.96292,0.000726312,0.000726312,0.000726312
59,15045.4,1.63561,1.45756,1.45469,0.52394,0.59243,0.5353,0.335,2.32176,1.93943,2.00188,0.000709809,0.000709809,0.000709809
60,15219.5,1.61123,1.43493,1.45202,0.50811,0.60248,0.51433,0.32121,2.32622,1.95731,1.97405,0.000693305,0.000693305,0.000693305
61,15402.9,1.63787,1.46575,1.47849,0.52443,0.59685,0.52321,0.32782,2.34568,1.93111,1.98513,0.000676802,0.000676802,0.000676802
62,15587.3,1.63557,1.44133,1.47155,0.50062,0.57258,0.5068,0.31828,2.32777,1.93565,1.96884,0.000660299,0.000660299,0.000660299
63,15761.2,1.60157,1.43853,1.43882,0.52864,0.606,0.53671,0.31806,2.31527,1.93265,1.95557,0.000643795,0.000643795,0.000643795
64,15944.4,1.5715,1.36709,1.41814,0.49491,0.60811,0.52705,0.33141,2.32168,1.92572,1.95824,0.000627292,0.000627292,0.000627292
65,16127.2,1.56625,1.38286,1.41771,0.53603,0.61474,0.54846,0.32782,2.31136,1.93533,1.96437,0.000610789,0.000610789,0.000610789
66,16304.8,1.56999,1.37846,1.41695,0.53234,0.6155,0.5353,0.32462,2.28448,1.90821,1.95271,0.000594286,0.000594286,0.000594286
67,16498.5,1.52977,1.34953,1.39275,0.53734,0.57903,0.52138,0.32229,2.34642,1.96369,2.01653,0.000577782,0.000577782,0.000577782
68,16683,1.55816,1.34206,1.40488,0.51907,0.6053,0.51241,0.31733,2.32325,1.94651,1.98968,0.000561279,0.000561279,0.000561279
69,16862.9,1.51725,1.33722,1.408,0.52277,0.58196,0.5101,0.32078,2.30998,1.90695,1.95833,0.000544776,0.000544776,0.000544776
70,17051.7,1.53246,1.31465,1.39851,0.52629,0.59134,0.51465,0.32283,2.31893,1.94499,1.97026,0.000528272,0.000528272,0.000528272
71,17230.5,1.57124,1.32381,1.41109,0.52823,0.59591,0.52671,0.32579,2.39694,1.94862,2.02427,0.000511769,0.000511769,0.000511769
72,17410.8,1.48756,1.26248,1.35414,0.52811,0.57621,0.52646,0.33693,2.34114,1.96018,1.99845,0.000495266,0.000495266,0.000495266
73,17599.8,1.48621,1.2674,1.36297,0.5062,0.58173,0.51238,0.32315,2.34108,1.97148,1.98832,0.000478762,0.000478762,0.000478762
74,17774,1.4714,1.25977,1.35259,0.47904,0.57633,0.51391,0.32214,2.31467,1.95809,1.9727,0.000462259,0.000462259,0.000462259
75,17952.3,1.47636,1.27386,1.359,0.51152,0.56706,0.51004,0.32218,2.34159,1.95924,2.0009,0.000445756,0.000445756,0.000445756
76,18238.9,1.45443,1.22926,1.34167,0.50793,0.5962,0.50643,0.31385,2.35175,1.99515,1.99435,0.000429253,0.000429253,0.000429253
