epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8681,2.32365,4.19324,1.85004,0.00379,0.15306,0.0991,0.02907,2.39078,4.18393,1.84735,0.000251989,0.000251989,0.000251989
2,38.7306,2.13908,3.27609,1.67095,0.97669,0.11602,0.11404,0.05006,2.50744,3.21863,1.8466,0.00050329,0.00050329,0.00050329
3,57.2844,2.04595,2.94611,1.56738,0.72237,0.14603,0.14359,0.0684,2.44601,2.69514,1.80075,0.000749515,0.000749515,0.000749515
4,76.4323,2.04723,2.62804,1.58225,0.55264,0.26072,0.16195,0.07065,2.63656,2.72057,2.01883,0.000746161,0.000746161,0.000746161
5,96.7819,2.03232,2.51791,1.59702,0.57098,0.3006,0.19265,0.07488,2.44488,2.40634,1.8562,0.000738548,0.000738548,0.000738548
