epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10570.8,1.61575,1.3446,1.39028,0.54192,0.72765,0.63312,0.26027,2.33252,1.88108,1.90724,0.000540037,0.000540037,0.000540037
43,10787.4,1.61112,1.36074,1.41346,0.7838,0.56831,0.7296,0.27535,2.31881,1.86696,1.89261,0.000531038,0.000531038,0.000531038
44,10988.2,1.59242,1.32141,1.38288,0.75883,0.57137,0.72406,0.29183,2.36251,1.84555,1.9179,0.000522039,0.000522039,0.000522039
45,11163.9,1.56588,1.30682,1.36534,0.68064,0.71636,0.7365,0.27482,2.33819,1.79449,1.87743,0.00051304,0.00051304,0.00051304
46,11341.4,1.57917,1.31231,1.38503,0.7707,0.70329,0.72413,0.28457,2.30456,1.83863,1.84993,0.00050404,0.00050404,0.00050404
47,11523.2,1.57638,1.31844,1.37215,0.77586,0.65881,0.71954,0.2737,2.27081,1.82235,1.83796,0.000495041,0.000495041,0.000495041
48,11697.6,1.5468,1.26985,1.33836,0.77397,0.68415,0.71763,0.28599,2.31808,1.81075,1.87176,0.000486042,0.000486042,0.000486042
49,11874,1.56546,1.26863,1.34929,0.75231,0.67202,0.69925,0.29641,2.31066,1.82707,1.87547,0.000477043,0.000477043,0.000477043
50,12052.4,1.53004,1.23437,1.33062,0.74252,0.70142,0.73365,0.31594,2.30095,1.84821,1.85777,0.000468044,0.000468044,0.000468044
51,12228.8,1.53827,1.23876,1.33673,0.73478,0.71289,0.7167,0.29647,2.3284,1.93211,1.87904,0.000459045,0.000459045,0.000459045
52,12405.4,1.5345,1.19612,1.311,0.73357,0.72902,0.73796,0.30447,2.37899,1.91902,1.91955,0.000450046,0.000450046,0.000450046
53,12582.8,1.49482,1.18902,1.31568,0.79358,0.69831,0.74722,0.31202,2.38823,1.84267,1.95236,0.000441047,0.000441047,0.000441047
54,12775.7,1.47818,1.16318,1.30914,0.79073,0.6849,0.73991,0.30745,2.34959,1.87213,1.91249,0.000432048,0.000432048,0.000432048
55,13048.9,1.49876,1.18915,1.33062,0.72291,0.69357,0.7344,0.29387,2.29868,1.84056,1.86642,0.000423049,0.000423049,0.000423049
56,13240.8,1.44581,1.14978,1.28563,0.75797,0.66316,0.71849,0.29334,2.36717,1.82098,1.92185,0.000414049,0.000414049,0.000414049
57,13423.9,1.47062,1.17633,1.29652,0.77332,0.67764,0.7245,0.2936,2.35632,1.81349,1.89581,0.00040505,0.00040505,0.00040505
58,13609.6,1.45399,1.14146,1.28143,0.72288,0.71843,0.73634,0.29018,2.37614,1.87587,1.92147,0.000396051,0.000396051,0.000396051
59,13786.9,1.41392,1.10978,1.27287,0.74584,0.7094,0.73049,0.29291,2.3755,1.88689,1.91776,0.000387052,0.000387052,0.000387052
60,13973.9,1.45166,1.10318,1.27477,0.74484,0.71167,0.73093,0.26281,2.39358,1.90285,1.93282,0.000378053,0.000378053,0.000378053
61,14154.4,1.42796,1.09237,1.26652,0.73101,0.70504,0.70492,0.25714,2.39396,1.95717,1.95744,0.000369054,0.000369054,0.000369054
62,14333.5,1.40828,1.10935,1.27627,0.7047,0.68286,0.68764,0.27175,2.39316,1.91058,1.94842,0.000360055,0.000360055,0.000360055
63,14520.2,1.3764,1.08768,1.24663,0.7404,0.6755,0.68816,0.27371,2.36486,1.88275,1.92331,0.000351056,0.000351056,0.000351056
64,14698,1.38041,1.07863,1.24974,0.7468,0.68596,0.71417,0.27113,2.36357,1.88724,1.91083,0.000342057,0.000342057,0.000342057
65,14883.2,1.36351,1.04435,1.22786,0.71999,0.68466,0.70342,0.28727,2.41607,1.92195,1.95743,0.000333058,0.000333058,0.000333058
66,15133.3,1.38204,1.06281,1.25208,0.67285,0.73192,0.71651,0.29007,2.3885,1.93396,1.92996,0.000324058,0.000324058,0.000324058
67,15412.8,1.36491,1.01436,1.2224,0.74319,0.65114,0.70155,0.27303,2.43785,1.96665,1.9765,0.000315059,0.000315059,0.000315059
68,15680.4,1.36011,1.02337,1.22429,0.70309,0.69921,0.7007,0.27417,2.38414,1.91931,1.9266,0.00030606,0.00030606,0.00030606
69,15957.6,1.35119,1.03916,1.23651,0.72904,0.69932,0.70773,0.2877,2.42969,1.88139,1.99838,0.000297061,0.000297061,0.000297061
70,16224.2,1.36031,0.98726,1.22227,0.7806,0.68857,0.72424,0.2883,2.43859,1.89297,2.00039,0.000288062,0.000288062,0.000288062
71,16507.5,1.33489,0.98651,1.21334,0.72771,0.71158,0.72197,0.28947,2.41877,1.9379,1.97816,0.000279063,0.000279063,0.000279063
72,16772.3,1.33664,0.98973,1.22047,0.69966,0.70134,0.7032,0.28624,2.41122,1.8982,1.99583,0.000270064,0.000270064,0.000270064
73,17051.9,1.29072,0.95446,1.18665,0.73375,0.68546,0.69483,0.2719,2.42711,1.93541,2.02958,0.000261065,0.000261065,0.000261065
74,17318.1,1.30659,0.94154,1.19449,0.74239,0.67794,0.69704,0.27722,2.42701,1.88084,2.0149,0.000252066,0.000252066,0.000252066
75,17596.8,1.29659,0.95932,1.18908,0.71512,0.67801,0.69602,0.27558,2.39903,1.92135,1.97211,0.000243067,0.000243067,0.000243067
76,17861.2,1.261,0.93178,1.17677,0.73412,0.68322,0.71509,0.26551,2.38887,1.93174,1.94851,0.000234068,0.000234068,0.000234068
77,18137.1,1.29459,0.93736,1.1795,0.75339,0.67458,0.71577,0.26472,2.41959,1.99726,1.98351,0.000225068,0.000225068,0.000225068
78,18402.6,1.26976,0.91467,1.16736,0.70067,0.68968,0.70816,0.26331,2.4437,2.03176,1.99371,0.000216069,0.000216069,0.000216069
79,18678.9,1.24358,0.88901,1.15624,0.72568,0.69795,0.71935,0.25401,2.46717,1.98541,2.0026,0.00020707,0.00020707,0.00020707
80,18951.6,1.25238,0.90975,1.17166,0.75503,0.68848,0.71174,0.24785,2.48394,1.99332,2.02872,0.000198071,0.000198071,0.000198071
81,19225,1.22474,0.88332,1.1488,0.77412,0.67909,0.72212,0.24604,2.48616,2.01376,2.04718,0.000189072,0.000189072,0.000189072
82,19496.3,1.24232,0.88155,1.1538,0.63537,0.70197,0.64696,0.2396,2.47564,2.00867,2.0501,0.000180073,0.000180073,0.000180073
83,19766.2,1.246,0.8779,1.15524,0.74024,0.70168,0.7291,0.24635,2.47646,1.99846,2.0387,0.000171074,0.000171074,0.000171074
84,20042.2,1.21283,0.87648,1.1542,0.7496,0.71531,0.73202,0.26003,2.48926,2.00179,2.04627,0.000162075,0.000162075,0.000162075
85,20307.9,1.21699,0.84831,1.13686,0.73884,0.72047,0.735,0.25928,2.49031,1.98314,2.05555,0.000153076,0.000153076,0.000153076
86,20586.3,1.20796,0.85672,1.1326,0.75491,0.71728,0.72184,0.27298,2.50769,1.99161,2.06346,0.000144077,0.000144077,0.000144077
87,20860.2,1.20187,0.83965,1.13541,0.74309,0.70718,0.71525,0.27538,2.51281,2.0116,2.06632,0.000135077,0.000135077,0.000135077
88,21133.1,1.19857,0.8369,1.13461,0.74563,0.70058,0.70734,0.25915,2.50161,2.012,2.06518,0.000126078,0.000126078,0.000126078
89,21403.2,1.16681,0.8181,1.1098,0.75815,0.69777,0.71652,0.27601,2.495,2.07218,2.05379,0.000117079,0.000117079,0.000117079
90,21677.4,1.18732,0.82361,1.12187,0.75815,0.70108,0.71646,0.26894,2.47933,2.11423,2.04077,0.00010808,0.00010808,0.00010808
91,21940.7,1.25115,0.85451,1.1596,0.74646,0.69472,0.71569,0.26879,2.47328,2.10839,2.03159,9.9081e-05,9.9081e-05,9.9081e-05
92,22213.4,1.22615,0.81143,1.13981,0.75082,0.69113,0.70067,0.26869,2.48115,2.07127,2.04164,9.00819e-05,9.00819e-05,9.00819e-05
93,22481.4,1.18419,0.79122,1.11778,0.76811,0.66866,0.69727,0.26099,2.48739,2.0037,2.06153,8.10828e-05,8.10828e-05,8.10828e-05
94,22752.1,1.15132,0.76401,1.09727,0.75803,0.68516,0.69362,0.25442,2.48407,1.97657,2.07474,7.20837e-05,7.20837e-05,7.20837e-05
95,23015,1.1417,0.74901,1.10393,0.75318,0.69349,0.69913,0.27048,2.49121,1.9911,2.0836,6.30846e-05,6.30846e-05,6.30846e-05
96,23283,1.1396,0.73539,1.09381,0.74479,0.69526,0.69879,0.25855,2.50054,2.01379,2.10065,5.40855e-05,5.40855e-05,5.40855e-05
97,23548.5,1.11624,0.72753,1.09188,0.73801,0.69215,0.70203,0.256,2.5088,2.01394,2.09846,4.50864e-05,4.50864e-05,4.50864e-05
98,23809.3,1.12243,0.72289,1.08543,0.73863,0.69783,0.70251,0.25497,2.51866,2.02721,2.10411,3.60873e-05,3.60873e-05,3.60873e-05
99,24078.1,1.1302,0.7212,1.09166,0.74391,0.69771,0.70901,0.25449,2.52255,2.03739,2.0998,2.70882e-05,2.70882e-05,2.70882e-05
100,24348.3,1.11209,0.70459,1.08216,0.74589,0.70097,0.70733,0.25656,2.52296,2.03841,2.10191,1.80891e-05,1.80891e-05,1.80891e-05
