epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,519.047,2.46971,3.24615,2.07259,0.35255,0.39502,0.29194,0.11775,2.46715,4.26029,2.14228,0.000296688,0.000296688,0.000296688
2,1084.68,2.14056,2.17309,1.81449,0.70745,0.42825,0.42976,0.19087,2.4495,2.32085,2.07054,0.00059573,0.00059573,0.00059573
3,1744.23,2.10392,2.02696,1.78208,0.50491,0.39626,0.37015,0.16446,2.41794,2.3567,2.0311,0.000890772,0.000890772,0.000890772
4,2387.09,2.10265,1.98668,1.77545,0.68258,0.45123,0.46827,0.21873,2.329,2.23181,1.94524,0.000891002,0.000891002,0.000891002
5,3052.47,2.10077,1.92467,1.76773,0.62897,0.53398,0.48488,0.21308,2.33603,2.03029,1.90381,0.000885002,0.000885002,0.000885002
6,3729.97,2.02961,1.87739,1.73067,0.75161,0.53632,0.53408,0.23103,2.32682,2.03908,1.89346,0.000879003,0.000879003,0.000879003
7,4396.75,2.0216,1.84999,1.71288,0.79263,0.49004,0.54097,0.23737,2.31615,1.99516,1.90461,0.000873004,0.000873004,0.000873004
8,4895.24,2.01565,1.8363,1.71699,0.6002,0.46736,0.51635,0.20555,2.40563,2.04081,1.96686,0.000867004,0.000867004,0.000867004
9,5388.39,1.97063,1.79,1.68491,0.60971,0.70251,0.59038,0.24249,2.29117,1.90761,1.87874,0.000861005,0.000861005,0.000861005
10,5890.46,1.95742,1.77855,1.66489,0.65101,0.66852,0.67777,0.27776,2.28755,1.9511,1.89039,0.000855005,0.000855005,0.000855005
11,6471.25,1.9434,1.74894,1.64792,0.56647,0.51886,0.54043,0.24302,2.26694,1.89902,1.84014,0.000849006,0.000849006,0.000849006
12,7230.51,1.91747,1.72433,1.64171,0.53691,0.56279,0.54848,0.23962,2.23849,1.89383,1.82539,0.000843007,0.000843007,0.000843007
13,7984.52,1.90117,1.68364,1.61633,0.70009,0.53852,0.54669,0.23569,2.27782,1.88849,1.85498,0.000837007,0.000837007,0.000837007
14,8746.72,1.9169,1.68681,1.61853,0.52487,0.70429,0.66095,0.27281,2.23195,1.92218,1.79575,0.000831008,0.000831008,0.000831008
15,9501.63,1.88444,1.66241,1.60981,0.70592,0.52304,0.60637,0.24945,2.31942,1.94042,1.83759,0.000825008,0.000825008,0.000825008
16,10257.5,1.87426,1.65434,1.59493,0.69203,0.54049,0.56276,0.23759,2.26707,1.8313,1.83185,0.000819009,0.000819009,0.000819009
17,11013.5,1.86333,1.62073,1.5813,0.69138,0.67087,0.68107,0.28745,2.24277,1.84087,1.79829,0.00081301,0.00081301,0.00081301
18,11764,1.86535,1.61307,1.58078,0.75534,0.63916,0.69395,0.28594,2.26039,1.88976,1.81911,0.00080701,0.00080701,0.00080701
19,12527,1.83463,1.61048,1.55621,0.5147,0.6948,0.5853,0.25079,2.25528,1.82205,1.83411,0.000801011,0.000801011,0.000801011
20,13278.5,1.82856,1.57865,1.56164,0.72036,0.546,0.59417,0.26324,2.24219,1.86159,1.83728,0.000795011,0.000795011,0.000795011
21,14035.7,1.81353,1.58851,1.55487,0.53897,0.75419,0.61974,0.26545,2.26974,1.82757,1.82535,0.000789012,0.000789012,0.000789012
22,14788.7,1.82179,1.55056,1.54365,0.72565,0.56963,0.61432,0.27025,2.25561,1.83156,1.81838,0.000783013,0.000783013,0.000783013
23,15541.7,1.79873,1.56586,1.52977,0.77413,0.65206,0.70211,0.30256,2.28346,1.88312,1.85829,0.000777013,0.000777013,0.000777013
24,16296.5,1.78772,1.54398,1.52929,0.74046,0.54226,0.60601,0.2671,2.25434,1.85488,1.81701,0.000771014,0.000771014,0.000771014
