epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1188.98,2.38722,4.05793,2.10852,0.11923,0.28142,0.10526,0.03896,2.42653,10.5414,2.25675,0.000250637,0.000250637,0.000250637
2,2260.29,2.06047,2.47858,1.8467,0.41504,0.46378,0.42155,0.17639,2.2528,3.45966,2.02635,0.000503624,0.000503624,0.000503624
3,3228.52,2.02913,2.12245,1.83193,0.46233,0.33734,0.33779,0.14733,2.31164,2.34692,2.01014,0.000753228,0.000753228,0.000753228
4,4077.41,1.98929,1.94927,1.801,0.66668,0.40814,0.38237,0.16784,2.07772,2.21999,1.79345,0.000753774,0.000753774,0.000753774
5,4919.73,1.96976,1.90218,1.77604,0.83268,0.4161,0.48168,0.19306,2.21855,1.96577,1.928,0.000748698,0.000748698,0.000748698
