epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.626,2.6663,4.30767,2.1514,0.15203,0.06215,0.08881,0.05176,2.71685,6.5448,2.28946,0.00013635,0.00013635,0.00013635
2,705.315,2.27679,2.49708,1.86503,0.36954,0.38977,0.32116,0.15477,2.52502,3.01131,2.11072,0.000279,0.000279,0.000279
3,1014.63,2.11178,2.1651,1.78791,0.49315,0.3037,0.30199,0.1327,2.39603,3.02509,2.0271,0.000418771,0.000418771,0.000418771
4,1318.66,2.07536,2.07801,1.73293,0.62149,0.42213,0.45279,0.19858,2.34836,3.43577,1.99728,0.000555662,0.000555662,0.000555662
5,1623.6,2.04006,1.93833,1.71312,0.64039,0.40231,0.45673,0.19451,2.3893,2.80412,2.00865,0.000689673,0.000689673,0.000689673
6,1925.55,2.01554,1.88619,1.68765,0.60065,0.46783,0.43939,0.19432,2.40017,2.61383,1.93728,0.000820804,0.000820804,0.000820804
7,2302.48,2.028,1.84844,1.66551,0.71782,0.44084,0.467,0.19597,2.45292,2.51161,2.06226,0.000855005,0.000855005,0.000855005
8,2700.59,2.03387,1.88083,1.68849,0.77383,0.44289,0.5116,0.2155,2.33098,2.58264,1.93259,0.000846006,0.000846006,0.000846006
9,3093.41,1.97666,1.82211,1.64334,0.72426,0.44813,0.51127,0.21848,2.35526,2.1883,1.91934,0.000837007,0.000837007,0.000837007
10,3501.69,1.93959,1.76588,1.60762,0.71036,0.46763,0.49901,0.22608,2.32847,2.29063,1.93308,0.000828008,0.000828008,0.000828008
11,3883.14,1.95957,1.77628,1.63619,0.56166,0.53439,0.54958,0.23212,2.30703,2.10525,1.90626,0.000819009,0.000819009,0.000819009
12,4222.34,1.96621,1.75763,1.65092,0.50908,0.51864,0.51051,0.22157,2.37557,2.04367,1.96889,0.00081001,0.00081001,0.00081001
