epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2873.7,1.54977,1.48043,1.44384,0.72973,0.50125,0.53588,0.22058,2.1266,1.80505,1.8196,0.000456863,0.000456863,0.000456863
43,2996.17,1.55008,1.47797,1.45927,0.7671,0.50058,0.53442,0.22822,2.09929,1.78153,1.79374,0.00044925,0.00044925,0.00044925
44,3116.11,1.53584,1.52766,1.45041,0.69589,0.55347,0.52917,0.22519,2.15216,1.82439,1.85396,0.000441637,0.000441637,0.000441637
45,3229.63,1.54448,1.50099,1.44442,0.7091,0.5113,0.50982,0.21829,2.04941,1.74201,1.83438,0.000434024,0.000434024,0.000434024
46,3338.87,1.55584,1.46516,1.46846,0.67695,0.4737,0.49739,0.21949,2.07652,1.73292,1.86122,0.000426411,0.000426411,0.000426411
47,3447.75,1.54406,1.47433,1.45066,0.73272,0.52144,0.53127,0.22004,2.12472,1.78513,1.89064,0.000418797,0.000418797,0.000418797
48,3561.57,1.5557,1.46321,1.47389,0.64874,0.51639,0.49415,0.21644,2.08306,1.8073,1.85444,0.000411184,0.000411184,0.000411184
49,3675.86,1.52372,1.45573,1.4652,0.62686,0.51848,0.49296,0.20605,2.14422,1.76164,1.88808,0.000403571,0.000403571,0.000403571
50,3785.94,1.52524,1.44333,1.45917,0.6525,0.49442,0.4871,0.21176,2.09618,1.75721,1.84417,0.000395958,0.000395958,0.000395958
51,3894.8,1.57414,1.44144,1.47347,0.6929,0.54223,0.53087,0.22735,2.02306,1.79846,1.81593,0.000388345,0.000388345,0.000388345
52,4007.4,1.48342,1.38221,1.42241,0.69261,0.53405,0.52007,0.21247,2.09484,1.76211,1.8185,0.000380732,0.000380732,0.000380732
53,4122.99,1.52634,1.44194,1.4534,0.67586,0.54682,0.53349,0.22449,2.01872,1.71323,1.78691,0.000373119,0.000373119,0.000373119
54,4235.16,1.5281,1.39901,1.43725,0.71528,0.53233,0.52735,0.228,2.06306,1.75612,1.82194,0.000365506,0.000365506,0.000365506
55,4345.09,1.48462,1.38123,1.42522,0.65809,0.55766,0.53271,0.22682,2.11248,1.71611,1.87314,0.000357893,0.000357893,0.000357893
56,4454.97,1.48995,1.36713,1.40322,0.69891,0.52942,0.53212,0.23147,2.10466,1.68593,1.88998,0.00035028,0.00035028,0.00035028
57,4567.85,1.47539,1.39451,1.41941,0.6799,0.53315,0.52955,0.22108,2.10908,1.72892,1.88837,0.000342666,0.000342666,0.000342666
58,4679.15,1.52212,1.40002,1.42866,0.64587,0.54191,0.53293,0.24221,2.09587,1.74878,1.84306,0.000335053,0.000335053,0.000335053
59,4790.18,1.49905,1.35389,1.41782,0.66212,0.56418,0.52702,0.22496,2.07109,1.69396,1.8409,0.00032744,0.00032744,0.00032744
60,4901.43,1.45067,1.35366,1.40603,0.67225,0.566,0.54236,0.23128,2.05717,1.72479,1.84878,0.000319827,0.000319827,0.000319827
61,5013.74,1.48216,1.37839,1.41938,0.6818,0.55056,0.52121,0.21867,2.14531,1.66821,1.90663,0.000312214,0.000312214,0.000312214
62,5126.67,1.45652,1.3371,1.39993,0.70786,0.53572,0.51892,0.2142,2.11928,1.69118,1.88757,0.000304601,0.000304601,0.000304601
63,5237.43,1.49714,1.33722,1.42354,0.69584,0.55022,0.53175,0.23011,2.03989,1.67092,1.82207,0.000296988,0.000296988,0.000296988
